"orig.ident","nCount_RNA","nFeature_RNA","main_cell_type.pred","main_cell_type.pred_prob","UMAP1","UMAP2","celltype.pred.combined","Monocyte.pred","Monocyte.pred_prob","Monocyte.UMAP1","Monocyte.UMAP2","T cell.pred","T cell.pred_prob","T cell.UMAP1","T cell.UMAP2"
"Pan",3043,1335,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",11707,3036,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",7721,2258,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5528,1793,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",6767,2098,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",4733,1746,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",2920,1166,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",14016,3344,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",6236,1790,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",7963,2574,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",7254,2430,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",5653,1693,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",1523,690,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",11836,3160,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",9524,2737,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
"Pan",3562,1470,"Monocyte",1,NA,NA,"CD14 monocyte","CD14 monocyte",1,NA,NA,NA,NA,NA,NA
